Part_ID,Label,Description,Part_type,Value_set_part_ID,Member_of_set_part_ID,Ancestor_part_ID,SQL_data_type,Is_required,Default_value,Sort_order,Parts_present,comments_present,contact_present,equipment_present,equipment_model_present,equipment_model_has_Parameter_present,equipment_model_has_procedures_present,hydrological_characteristics_present,metadata_present,parameter_present,parameter_has_procedures_present,procedures_present,project_present,project_has_contact_present,project_has_equipment_present,project_has_sampling_points_present,purpose_present,sampling_points_present,site_present,unit_present,urban_characteristics_present,value_present,watershed_present,weather_condition_present,Parts_required,Parts_order,comments_required,comments_order,contact_required,contact_order,equipment_required,equipment_order,equipment_model_required,equipment_model_order,equipment_model_has_Parameter_required,equipment_model_has_Parameter_order,equipment_model_has_procedures_required,equipment_model_has_procedures_order,hydrological_characteristics_required,hydrological_characteristics_order,metadata_required,metadata_order,parameter_required,parameter_order,parameter_has_procedures_required,parameter_has_procedures_order,procedures_required,procedures_order,project_required,project_order,project_has_contact_required,project_has_contact_order,project_has_equipment_required,project_has_equipment_order,project_has_sampling_points_required,project_has_sampling_points_order,purpose_required,purpose_order,sampling_points_required,sampling_points_order,site_required,site_order,unit_required,unit_order,urban_characteristics_required,urban_characteristics_order,value_required,value_order,watershed_required,watershed_order,weather_condition_required,weather_condition_order
valueSet,Value Set,Represents an enumeration or controlled vocabulary,valueSetMember,,Part_type_set,,nvarchar(50),,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valueSetMember,Value Set Member,Individual value within a value set,valueSetMember,,Part_type_set,,nvarchar(50),,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,Comments,Table for Comments,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact,Contact,Table for Contact,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment,Equipment,Table for Equipment,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model,Equipment Model,Table for Equipment Model,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_Parameter,Equipment Model Has Parameter,Table for Equipment Model Has Parameter,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equipment_model_has_procedures,Equipment Model Has Procedures,Table for Equipment Model Has Procedures,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrological_characteristics,Hydrological Characteristics,Table for Hydrological Characteristics,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,Metadata,Table for Metadata,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter,Parameter,Table for Parameter,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_has_procedures,Parameter Has Procedures,Table for Parameter Has Procedures,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures,Procedures,Table for Procedures,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,Project,Table for Project,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_contact,Project Has Contact,Table for Project Has Contact,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_equipment,Project Has Equipment,Table for Project Has Equipment,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_has_sampling_points,Project Has Sampling Points,Table for Project Has Sampling Points,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpose,Purpose,Table for Purpose,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampling_points,Sampling Points,Table for Sampling Points,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site,Site,Table for Site,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,Unit,Table for Unit,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_characteristics,Urban Characteristics,Table for Urban Characteristics,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value,Value,Table for Value,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watershed,Watershed,Table for Watershed,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weather_condition,Weather Condition,Table for Weather Condition,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural,Agricultural,Agricultural in urban_characteristics table,property,,,,real,False,,7,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Comment,Comment in comments table,property,,,,ntext(1073741823),False,,2,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment_ID,Comment ID,"Identifier for comments, also used in 1 other table(s)",key,,,,int,False,,1,,key,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,Commercial,Commercial in urban_characteristics table,property,,,,real,False,,2,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,Company,Company in contact table,property,,,,ntext(1073741823),False,,4,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentration_time,Concentration Time,Concentration Time in watershed table,property,,,,int,False,,5,,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condition_ID,Condition ID,"Identifier for weather_condition, also used in 1 other table(s)",key,,,,int,False,,1,,,,,,,,,property,,,,,,,,,,,,,,,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact_ID,Contact ID,"Identifier for contact, also used in 2 other table(s)",key,,,,int,False,,1,,,key,,,,,,property,,,,,compositeKeySecond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cropland,Cropland,Cropland in hydrological_characteristics table,property,,,,real,False,,5,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Email,Email in contact table,property,,,,nvarchar(100),False,,8,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment_ID,Equipment ID,"Identifier for equipment, also used in 2 other table(s)",key,,,,int,False,,1,,,,key,,,,,property,,,,,,compositeKeySecond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment_identifier,Equipment IDentifier,Equipment IDentifier in equipment table,property,,,,nvarchar(100),False,,2,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment_model,Equipment Model,Equipment Model in equipment_model table,property,,,,nvarchar(100),False,,2,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment_model_ID,Equipment Model ID,"Identifier for equipment_model, also used in 3 other table(s)",key,,,,int,False,,1,,,,property,key,compositeKeyFirst,compositeKeyFirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First_name,First Name,First Name in contact table,property,,,,nvarchar(255),False,,3,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest,Forest in hydrological_characteristics table,property,,,,real,False,,3,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function,Function,Function in contact table,property,,,,ntext(1073741823),False,,6,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functions,Functions,Functions in equipment_model table,property,,,,ntext(1073741823),False,,4,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grassland,Grassland,Grassland in hydrological_characteristics table,property,,,,real,False,,7,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green_spaces,Green Spaces,Green Spaces in urban_characteristics table,property,,,,real,False,,3,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impervious_surface,Impervious Surface,Impervious Surface in watershed table,property,,,,real,False,,6,,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,Industrial,Industrial in urban_characteristics table,property,,,,real,False,,4,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional,Institutional,Institutional in urban_characteristics table,property,,,,real,False,,5,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last_name,Last Name,Last Name in contact table,property,,,,nvarchar(100),False,,2,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude_GPS,Latitude GPS,Latitude GPS in sampling_points table,property,,,,nvarchar(100),False,,5,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linkedin,Linkedin,Linkedin in contact table,property,,,,nvarchar(100),False,,11,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude_GPS,Longitude GPS,Longitude GPS in sampling_points table,property,,,,nvarchar(100),False,,6,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual_location,Manual Location,Manual Location in equipment_model table,property,,,,nvarchar(100),False,,6,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer,Manufacturer,Manufacturer in equipment_model table,property,,,,nvarchar(100),False,,5,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadow,Meadow,Meadow in hydrological_characteristics table,property,,,,real,False,,6,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata_ID,Metadata ID,"Identifier for metadata, also used in 1 other table(s)",key,,,,int,False,,1,,,,,,,,,key,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Method,Method in equipment_model table,property,,,,nvarchar(100),False,,3,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_experiment,Number Of Experiment,Number Of Experiment in value table,property,,,,numeric,False,,3,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office_number,Office Number,Office Number in contact table,property,,,,nvarchar(100),False,,7,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner,Owner,Owner in equipment table,property,,,,ntext(1073741823),False,,4,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Parameter,Parameter in parameter table,property,,,,nvarchar(100),False,,2,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_ID,Parameter ID,"Identifier for parameter, also used in 3 other table(s)",compositeKeySecond,,,,int,False,,2,,,,,,compositeKeySecond,,,property,key,compositeKeyFirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,Phone,Phone in contact table,property,,,,nvarchar(100),False,,9,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picture,Picture,Picture in site table,property,,,,image(2147483647),False,,6,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pictures,Pictures,Pictures in sampling_points table,property,,,,BLOB,False,,8,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure_ID,Procedure ID,"Identifier for procedures, also used in 3 other table(s)",key,,,,int,False,,1,,,,,,,compositeKeySecond,,property,,compositeKeySecond,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure_location,Procedure Location,Procedure Location in procedures table,property,,,,nvarchar(100),False,,5,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure_name,Procedure Name,Procedure Name in procedures table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure_type,Procedure Type,Procedure Type in procedures table,property,,,,nvarchar(255),False,,3,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project_ID,Project ID,"Identifier for project, also used in 4 other table(s)",key,,,,int,False,,1,,,,,,,,,property,,,,key,compositeKeyFirst,compositeKeyFirst,compositeKeyFirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project_name,Project Name,Project Name in project table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province,Province,Province in site table,property,,,,nvarchar(255),False,,11,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase_date,Purchase Date,Purchase Date in equipment table,property,,,,date,False,,6,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purpose,Purpose,Purpose in purpose table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purpose_ID,Purpose ID,"Identifier for purpose, also used in 1 other table(s)",key,,,,int,False,,1,,,,,,,,,property,,,,,,,,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational,Recreational,Recreational in urban_characteristics table,property,,,,real,False,,8,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,Residential,Residential in urban_characteristics table,property,,,,real,False,,6,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling_location,Sampling Location,Sampling Location in sampling_points table,property,,,,nvarchar(100),False,,3,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling_point,Sampling Point,Sampling Point in sampling_points table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling_point_ID,Sampling Point ID,"Identifier for sampling_points, also used in 2 other table(s)",key,,,,int,False,,1,,,,,,,,,property,,,,,,,compositeKeySecond,,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial_number,Serial Number,Serial Number in equipment table,property,,,,nvarchar(100),False,,3,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site_ID,Site ID,"Identifier for site, also used in 1 other table(s)",key,,,,int,False,,1,,,,,,,,,,,,,,,,,,property,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site_name,Site Name,Site Name in site table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site_type,Site Type,Site Type in site table,property,,,,nvarchar(255),False,,3,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skype_name,Skype Name,Skype Name in contact table,property,,,,nvarchar(100),False,,10,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,Status,Status in contact table,property,,,,nvarchar(255),False,,5,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage_location,Storage Location,Storage Location in equipment table,property,,,,nvarchar(100),False,,5,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface_area,Surface Area,Surface Area in watershed table,property,,,,real,False,,4,,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,Timestamp,Timestamp in value table,property,,,,int,False,,6,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,Unit,Unit in unit table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit_ID,Unit ID,"Identifier for unit, also used in 2 other table(s)",key,,,,int,False,,1,,,,,,,,,property,property,,,,,,,,,,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban_area,Urban Area,Urban Area in hydrological_characteristics table,property,,,,real,False,,2,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value,Value,Value in value table,property,,,,float,False,,2,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value_ID,Value ID,Unique identifier for value,key,,,,int,False,,1,,,,,,,,,,,,,,,,,,,,,,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watershed_ID,Watershed ID,"Identifier for hydrological_characteristics, also used in 3 other table(s)",key,,,,int,False,,1,,,,,,,,key,,,,,,,,,,,property,,key,,key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watershed_name,Watershed Name,Watershed Name in watershed table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather_condition,Weather Condition,Weather Condition in weather_condition table,property,,,,nvarchar(100),False,,2,,,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website,Website,Website in contact table,property,,,,nvarchar(60),False,,17,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetlands,Wetlands,Wetlands in hydrological_characteristics table,property,,,,real,False,,4,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_City,Contact City,Contact City in contact table,property,,,,nvarchar(255),False,,14,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_Country,Contact Country,Contact Country in contact table,property,,,,nvarchar(255),False,,16,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_Street_name,Contact Street Name,Contact Street Name in contact table,property,,,,nvarchar(100),False,,13,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_Street_number,Contact Street Number,Contact Street Number in contact table,property,,,,nvarchar(100),False,,12,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact_Zip_code,Contact Zip Code,Contact Zip Code in contact table,property,,,,nvarchar(45),False,,15,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameter_Description,Parameter Description,Parameter Description in parameter table,property,,,,ntext(1073741823),False,,4,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures_Description,Procedures Description,Procedures Description in procedures table,property,,,,ntext(1073741823),False,,4,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_Description,Project Description,Project Description in project table,property,,,,ntext(1073741823),False,,3,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpose_Description,Purpose Description,Purpose Description in purpose table,property,,,,ntext(1073741823),False,,3,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampling_points_Description,Sampling Points Description,Sampling Points Description in sampling_points table,property,,,,ntext(1073741823),False,,7,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_City,Site City,Site City in site table,property,,,,nvarchar(255),False,,9,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_Country,Site Country,Site Country in site table,property,,,,nvarchar(255),False,,12,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_Description,Site Description,Site Description in site table,property,,,,ntext(1073741823),False,,5,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_Street_name,Site Street Name,Site Street Name in site table,property,,,,nvarchar(100),False,,8,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_Street_number,Site Street Number,Site Street Number in site table,property,,,,nvarchar(100),False,,7,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site_Zip_code,Site Zip Code,Site Zip Code in site table,property,,,,nvarchar(100),False,,10,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watershed_Description,Watershed Description,Watershed Description in watershed table,property,,,,ntext(1073741823),False,,3,,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weather_condition_Description,Weather Condition Description,Weather Condition Description in weather_condition table,property,,,,ntext(1073741823),False,,3,,,,,,,,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
